Name of University;Country;Continent;Exchange Program;Degree Level;Term Dates;Approximate Places Available;Requirements;University URL;Latitude;Longitude;Testimonials
Universidad Torcuato Di Tella;Argentina;South America;Partner University;Bachelor/Master;"Bachelor: August - December, March - July; Master: September - December, March - June, June - September";"Bachelor: 4; Master: 4";B1/B2 level of Spanish, specific requirements for MBA and Master in Finance, new visa requirements;https://www.utdt.edu;-34.5479175;-58.44674006;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universidad de San Andres;Argentina;South America;Partner University;Bachelor/Master;"Bachelor: August - December, March - July; Master: September - December";"Bachelor: 2; Master: 2";Spanish B1 at time of HSG application deadline, Spanish B2 at time of host university application deadline;https://udesa.edu.ar;-34.44647737;-58.53009519;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Melbourne, Melbourne Business School;Australia;Oceania;Partner University;Master;July - September, September - December, January - April, April - June;Master: 1;"TOEFL score minimum: 102 + written score of 24; MBS MBA English requirements: IELTS 7.0; Two years full-time post-Bachelor degree required.";https://mbs.unimelb.edu.au;-37.80127693;144.9611695;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of New South Wales, Australian School of Business, AGSM;Australia;Oceania;Partner University;Master;September - December, February - May;Master: 3;"Only TOEFL or IELTS accepted; Minimum two years full-time post-Bachelor work experience.";https://www.unsw.edu.au/business/our-schools/agsm;-33.9181101;151.2363774;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Wollongong;Australia;Oceania;Partner University;Bachelor/Master;"Bachelor: July - November, February - June; Master: August - November, January - May, May - August";"Bachelor: 1; Master: 1";"Only TOEFL or IELTS accepted; IELTS/TOEFL must be valid for 2 years from program start.";https://www.uow.edu.au;-34.40520679;150.8782471;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Western Australia, Business School;Australia;Oceania;Partner University;Bachelor/Master;July - November, February - June;"Bachelor: no; Master: no";"Only TOEFL or IELTS accepted; IELTS/TOEFL must be valid for 2 years from program start.";https://www.uwa.edu.au/schools/business;-31.98556777;115.820216;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Sydney Business School;Australia;Oceania;Partner University/CEMS;Bachelor/Master;July - November, February - June;"Bachelor: no; Master: 1; CEMS: 2 autumn semester / 1 spring semester";"TOEFL-iBT Home Edition tests are no longer accepted; All incoming students need to meet English language proficiency.";https://www.sydney.edu.au/business/;-33.89161597;151.1917328;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
University of Queensland, Faculty of Business, Economics & Law;Australia;Oceania;Partner University;Bachelor/Master;July - November, February - June;"Bachelor: 1;  Master: no";"Only TOEFL or IELTS accepted; IELTS/TOEFL must be valid for 2 years from program start; PTE Academic Online, TOEFL iBT Home Edition not accepted.";https://bel.uq.edu.au;-27.49450044;153.0143337;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
La Trobe University;Australia;Oceania;Partner University;Bachelor/Master;July - December, February - July;"Bachelor: 1; Master: no";"Only TOEFL or IELTS accepted; IELTS/TOEFL must be valid for 2 years from program start.";https://www.latrobe.edu.au;-37.72002131;145.0469434;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
Universität Wien, Rechtswissenschaftliche Fakultät;Austria;Europe;Partner University;Bachelor/Master;October - January, March - June;"Bachelor: 1; Master: 1 ";Consider fields of study, language of instruction, semester dates, etc.;https://juridicum.univie.ac.at;48.21406797;16.36592233;https://registration.exchange.unisg.ch/mobility/MobilitySearchServlet?identifier=STGALL09&kz_bew_pers=S&kz_bew_art=OUT&sprache=de&showOnlyKzSearch=1&kz_search=Q
